PostalCode,Borough,Neighbourhood,Latitude,Longitude,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
M5N,Central Toronto,Roselawn,43.7116948,-79.41693559999999,3,Garden,Drugstore,Dim Sum Restaurant,Diner,Discount Store,Dog Run,Doner Restaurant,Donut Shop,Yoga Studio,Fast Food Restaurant
M5P,Central Toronto,"Forest Hill North, Forest Hill West",43.6969476,-79.41130720000001,9,Sushi Restaurant,Mexican Restaurant,Jewelry Store,Trail,Yoga Studio,Dim Sum Restaurant,Discount Store,Dog Run,Doner Restaurant,Donut Shop
M5R,Central Toronto,"The Annex, North Midtown, Yorkville",43.6727097,-79.40567840000001,1,Sandwich Place,Café,Coffee Shop,Pizza Place,Indian Restaurant,BBQ Joint,Burger Joint,American Restaurant,Pharmacy,History Museum
M5S,Downtown Toronto,"Harbord, University of Toronto",43.6626956,-79.4000493,1,Café,Coffee Shop,Bakery,Bookstore,Restaurant,Bar,Japanese Restaurant,Massage Studio,Nightclub,Noodle House
M5T,Downtown Toronto,"Chinatown, Grange Park, Kensington Market",43.6532057,-79.4000493,1,Bar,Café,Vietnamese Restaurant,Vegetarian / Vegan Restaurant,Coffee Shop,Bakery,Dumpling Restaurant,Mexican Restaurant,Chinese Restaurant,Dessert Shop
M5V,Downtown Toronto,"CN Tower, Bathurst Quay, Island airport, Harbourfront West, King and Spadina, Railway Lands, South Niagara",43.6289467,-79.3944199,1,Airport Lounge,Airport Terminal,Airport Service,Harbor / Marina,Plane,Sculpture Garden,Boutique,Boat or Ferry,Airport Gate,Airport
M5W,Downtown Toronto,Stn A PO Boxes 25 The Esplanade,43.6464352,-79.37484599999999,1,Coffee Shop,Restaurant,Café,Italian Restaurant,Pub,Seafood Restaurant,Beer Bar,Hotel,Cocktail Bar,Japanese Restaurant
M5X,Downtown Toronto,"First Canadian Place, Underground city",43.6484292,-79.3822802,1,Coffee Shop,Café,Hotel,Restaurant,American Restaurant,Gym,Deli / Bodega,Bakery,Seafood Restaurant,Steakhouse
M6A,North York,"Lawrence Heights, Lawrence Manor",43.718517999999996,-79.46476329999999,1,Accessories Store,Coffee Shop,Event Space,Miscellaneous Shop,Gift Shop,Clothing Store,Furniture / Home Store,Shoe Store,Vietnamese Restaurant,Boutique
M6B,North York,Glencairn,43.709577,-79.44507259999999,1,Metro Station,Park,Pizza Place,Japanese Restaurant,Pub,Yoga Studio,Diner,Discount Store,Dog Run,Doner Restaurant
M6C,York,Humewood-Cedarvale,43.6937813,-79.42819140000002,2,Field,Park,Hockey Arena,Trail,Dumpling Restaurant,Diner,Discount Store,Dog Run,Doner Restaurant,Donut Shop
M6E,York,Caledonia-Fairbanks,43.6890256,-79.453512,2,Park,Pharmacy,Market,Fast Food Restaurant,Women's Store,Gym,Department Store,Ethiopian Restaurant,Empanada Restaurant,Electronics Store
M6G,Downtown Toronto,Christie,43.669542,-79.4225637,1,Café,Grocery Store,Park,Nightclub,Restaurant,Athletics & Sports,Diner,Italian Restaurant,Baby Store,Coffee Shop
M6H,West Toronto,"Dovercourt Village, Dufferin",43.66900510000001,-79.4422593,1,Supermarket,Bakery,Pharmacy,Discount Store,Gym / Fitness Center,Café,Bank,Bar,Furniture / Home Store,Pool
M6J,West Toronto,"Little Portugal, Trinity",43.647926700000006,-79.4197497,1,Bar,Men's Store,Restaurant,Coffee Shop,Asian Restaurant,Café,Pizza Place,Bakery,Cocktail Bar,Vietnamese Restaurant
M6K,West Toronto,"Brockton, Exhibition Place, Parkdale Village",43.6368472,-79.42819140000002,1,Café,Coffee Shop,Breakfast Spot,Bar,Italian Restaurant,Stadium,Furniture / Home Store,Burrito Place,Climbing Gym,Caribbean Restaurant
M6L,North York,"Maple Leaf Park, North Park, Upwood Park",43.713756200000006,-79.4900738,2,Basketball Court,Park,Construction & Landscaping,Bakery,Eastern European Restaurant,Dog Run,Doner Restaurant,Donut Shop,Drugstore,Dumpling Restaurant
M6M,York,"Del Ray, Keelesdale, Mount Dennis, Silverthorn",43.6911158,-79.47601329999999,1,Restaurant,Discount Store,Sandwich Place,Convenience Store,Donut Shop,Dim Sum Restaurant,Diner,Dog Run,Doner Restaurant,Drugstore
M6N,York,"The Junction North, Runnymede",43.67318529999999,-79.48726190000001,0,Pizza Place,Bus Line,Grocery Store,Convenience Store,Yoga Studio,Drugstore,Diner,Discount Store,Dog Run,Doner Restaurant
M6P,West Toronto,"High Park, The Junction South",43.6616083,-79.46476329999999,1,Café,Mexican Restaurant,Thai Restaurant,Cajun / Creole Restaurant,Bar,Diner,Bakery,Fried Chicken Joint,Speakeasy,Furniture / Home Store
M6R,West Toronto,"Parkdale, Roncesvalles",43.6489597,-79.456325,1,Gift Shop,Breakfast Spot,Bookstore,Italian Restaurant,Bank,Bar,Dessert Shop,Movie Theater,Eastern European Restaurant,Dog Run
M6S,West Toronto,"Runnymede, Swansea",43.6515706,-79.4844499,1,Coffee Shop,Pizza Place,Café,Italian Restaurant,Sushi Restaurant,Gym,Pub,Dessert Shop,Bar,Food
M7A,Queen's Park,Queen's Park,43.6623015,-79.3894938,1,Coffee Shop,Gym,Japanese Restaurant,Diner,Sushi Restaurant,Yoga Studio,Persian Restaurant,Smoothie Shop,Seafood Restaurant,Sandwich Place
M7R,Mississauga,Canada Post Gateway Processing Centre,43.6369656,-79.61581899999999,1,Hotel,Coffee Shop,American Restaurant,Fried Chicken Joint,Middle Eastern Restaurant,Mediterranean Restaurant,Burrito Place,Sandwich Place,Dog Run,Doner Restaurant
M7Y,East Toronto,Business Reply Mail Processing Centre 969 Eastern,43.6627439,-79.321558,1,Light Rail Station,Yoga Studio,Garden Center,Smoke Shop,Brewery,Farmers Market,Fast Food Restaurant,Burrito Place,Restaurant,Recording Studio
M8V,Etobicoke,"Humber Bay Shores, Mimico South, New Toronto",43.6056466,-79.50132070000001,1,Pet Store,Bakery,Fried Chicken Joint,Fast Food Restaurant,Liquor Store,Mexican Restaurant,Pharmacy,Pizza Place,Café,Restaurant
M8W,Etobicoke,"Alderwood, Long Branch",43.60241370000001,-79.54348409999999,1,Pizza Place,Gym,Skating Rink,Pharmacy,Coffee Shop,Pub,Sandwich Place,Yoga Studio,Dog Run,Dessert Shop
M8X,Etobicoke,"The Kingsway, Montgomery Road, Old Mill North",43.653653600000005,-79.5069436,2,Park,Smoke Shop,River,Pool,Yoga Studio,Doner Restaurant,Dessert Shop,Dim Sum Restaurant,Diner,Discount Store
M8Y,Etobicoke,"Humber Bay, King's Mill Park, Kingsway Park South East, Mimico NE, Old Mill South, The Queensway East, Royal York South East, Sunnylea",43.6362579,-79.49850909999999,4,Baseball Field,Locksmith,Electronics Store,Dog Run,Doner Restaurant,Donut Shop,Drugstore,Dumpling Restaurant,Eastern European Restaurant,Yoga Studio
M8Z,Etobicoke,"Kingsway Park South West, Mimico NW, The Queensway West, Royal York South West, South of Bloor",43.6288408,-79.52099940000001,1,Wings Joint,Fast Food Restaurant,Gym,Grocery Store,Discount Store,Social Club,Convenience Store,Bakery,Supplement Shop,Thrift / Vintage Store
M9B,Etobicoke,"Cloverdale, Islington, Martin Grove, Princess Gardens, West Deane Park",43.6509432,-79.55472440000001,5,Bank,Yoga Studio,Dumpling Restaurant,Discount Store,Dog Run,Doner Restaurant,Donut Shop,Drugstore,Eastern European Restaurant,Dim Sum Restaurant
M9C,Etobicoke,"Bloordale Gardens, Eringate, Markland Wood, Old Burnhamthorpe",43.6435152,-79.57720079999999,1,Pharmacy,Convenience Store,Beer Store,Liquor Store,Café,Pizza Place,Concert Hall,Diner,Event Space,Comfort Food Restaurant
M9L,North York,Humber Summit,43.7563033,-79.56596329999999,1,Pizza Place,Empanada Restaurant,Yoga Studio,Drugstore,Diner,Discount Store,Dog Run,Doner Restaurant,Donut Shop,Eastern European Restaurant
M9M,North York,"Emery, Humberlea",43.7247659,-79.53224240000002,7,Baseball Field,Furniture / Home Store,Dumpling Restaurant,Discount Store,Dog Run,Doner Restaurant,Donut Shop,Drugstore,Yoga Studio,Dim Sum Restaurant
M9N,York,Weston,43.706876,-79.51818840000001,2,Park,Convenience Store,Yoga Studio,Dumpling Restaurant,Diner,Discount Store,Dog Run,Doner Restaurant,Donut Shop,Drugstore
M9P,Etobicoke,Westmount,43.696319,-79.53224240000002,1,Pizza Place,Intersection,Coffee Shop,Sandwich Place,Middle Eastern Restaurant,Chinese Restaurant,Doner Restaurant,Dim Sum Restaurant,Diner,Discount Store
M9R,Etobicoke,"Kingsview Village, Martin Grove Gardens, Richview Gardens, St. Phillips",43.6889054,-79.55472440000001,2,Park,Mobile Phone Shop,Yoga Studio,Drugstore,Diner,Discount Store,Dog Run,Doner Restaurant,Donut Shop,Dumpling Restaurant
M9V,Etobicoke,"Albion Gardens, Beaumond Heights, Humbergate, Jamestown, Mount Olive, Silverstone, South Steeles, Thistletown",43.739416399999996,-79.5884369,0,Grocery Store,Pharmacy,Fried Chicken Joint,Pizza Place,Coffee Shop,Sandwich Place,Beer Store,Fast Food Restaurant,Golf Course,Dance Studio
M9W,Etobicoke,Northwest,43.706748299999994,-79.5940544,1,Bar,Rental Car Location,Drugstore,Dessert Shop,Diner,Discount Store,Dog Run,Doner Restaurant,Donut Shop,Yoga Studio
