Borough,Neighbourhood,Latitude,Longitude
Brooklyn,Fort Hamilton,40.6147681269423,-74.0319791453799
Manhattan,Chinatown,40.715618422314364,-73.99427936255985
Manhattan,Washington Heights,40.85190252555309,-73.93690027985242
Manhattan,Inwood,40.86768396449919,-73.92121042203905
Manhattan,Hamilton Heights,40.82360428481197,-73.94968791883373
Manhattan,Manhattanville,40.81693442949784,-73.95738539351888
Manhattan,Central Harlem,40.81597606742418,-73.94321112603912
Manhattan,East Harlem,40.79224946663037,-73.94418223148531
Manhattan,Upper East Side,40.77563857330185,-73.96050763135007
Manhattan,Yorkville,40.77592984988492,-73.94711784471833
Manhattan,Lenox Hill,40.76811265828737,-73.95885968813766
Manhattan,Roosevelt Island,40.762403730702246,-73.9494705736962
Manhattan,Upper West Side,40.7876579985349,-73.9770592363061
Manhattan,Lincoln Square,40.773528889421705,-73.9853377700127
Manhattan,Clinton,40.758333686906404,-73.99640768221386
Manhattan,Midtown,40.75469110270627,-73.98166882730311
Manhattan,Murray Hill,40.74830307725222,-73.97833207924134
Manhattan,Chelsea,40.74403470674802,-74.0031163347282
Manhattan,Greenwich Village,40.72693288536132,-73.99991402945909
Manhattan,East Village,40.72784677727029,-73.98222616506425
Manhattan,Lower East Side,40.71780674892769,-73.98089031999298
Manhattan,Tribeca,40.72152196744325,-74.01068328559094
Manhattan,Little Italy,40.71932379395911,-73.9973046720808
Manhattan,Soho,40.72218384131798,-74.00065666959766
Manhattan,West Village,40.734433935724375,-74.00617998126819
Manhattan,Manhattan Valley,40.7973070417029,-73.96428617740662
Manhattan,Morningside Heights,40.80799973816586,-73.96389627905339
Manhattan,Gramercy,40.737209832715045,-73.98137594833548
Manhattan,Battery Park City,40.71193198394569,-74.01686930508625
Manhattan,Financial District,40.70710710727052,-74.01066544521277
Queens,Astoria,40.768508593354966,-73.91565374304241
Queens,Woodside,40.746349088602265,-73.90184166838291
Queens,Jackson Heights,40.751981380073715,-73.88282109164372
Queens,Elmhurst,40.744048505122066,-73.88165622288396
Queens,Howard Beach,40.6542252773849,-73.83813764600289
Queens,South Corona,40.7423817501567,-73.85682497345266
Queens,Forest Hills,40.725263782165065,-73.8444750078899
Queens,Kew Gardens,40.705179035414844,-73.8298190582571
Queens,Richmond Hill,40.69794731471767,-73.83183321446894
Queens,Downtown Flushing,40.76116362081876,-73.82936758711861
Queens,Long Island City,40.75021734610532,-73.93920223915512
Queens,Sunnyside,40.74017628351928,-73.92691617561584
Queens,East Elmhurst,40.764073238830946,-73.86704147658779
Queens,Maspeth,40.72542737409365,-73.89621713626867
Queens,Ridgewood,40.70832315613862,-73.90143517559596
Queens,Glendale,40.702762429678415,-73.87074167435614
Queens,Rego Park,40.72897409480739,-73.85782686905377
Queens,Woodhaven,40.689886879157925,-73.85811046554328
Queens,Ozone Park,40.68070846826546,-73.84320266173454
Queens,South Ozone Park,40.66854957767199,-73.80986478649048
Queens,College Point,40.78490274926025,-73.84304528896132
Queens,Whitestone,40.781290766026984,-73.8142021661087
Queens,Bayside,40.76604063281068,-73.77427363068676
Queens,Auburndale,40.761729549032665,-73.79176243728068
Queens,Little Neck,40.77082619282674,-73.73889775580747
Queens,Douglaston,40.766846097907674,-73.74249820727337
Queens,Glen Oaks,40.74944079974336,-73.71548118999152
Queens,Bellerose,40.72857318176679,-73.7201281482691
Queens,Kew Gardens Hills,40.72257824422808,-73.82087764933573
Queens,Fresh Meadows,40.734394465331334,-73.78271337003271
Queens,Briarwood,40.710935472522756,-73.81174822458641
Queens,Jamaica Center,40.704657360687214,-73.79690165888296
Queens,Oakland Gardens,40.74561857141858,-73.75494976234339
Queens,Queens Village,40.7188930921674,-73.73871484578433
Queens,Hollis,40.71124344191908,-73.75925009335602
Queens,South Jamaica,40.69691125378992,-73.79042613135549
Queens,St. Albans,40.69444538522363,-73.75867603727725
Queens,Rochdale,40.675211395917366,-73.77258787620913
Queens,Springfield Gardens,40.666230490368626,-73.76042092682295
Queens,Cambria Heights,40.69277463916089,-73.73526873708033
Queens,Rosedale,40.65981643342812,-73.73526079428285
Queens,Far Rockaway,40.60313443250093,-73.7549796804388
Queens,Broad Channel,40.603026583512424,-73.82005489110327
Queens,Breezy Point,40.557401288454564,-73.92551196994177
Queens,Steinway,40.77592301564293,-73.90228960391681
Queens,Beechhurst,40.792781403600515,-73.80436451720996
Queens,Bay Terrace,40.7828428062456,-73.77680222621588
Queens,Edgemere,40.59564180736854,-73.77613282391712
Queens,Arverne,40.58914394372975,-73.7919923313695
Queens,Seaside,40.58280169684563,-73.82236121088758
Queens,Neponsit,40.57203673021705,-73.85754672410836
Queens,Murray Hill,40.7641261226141,-73.81276269135873
Queens,Floral Park,40.74137842194548,-73.70884705889253
Queens,Holliswood,40.720957207644446,-73.76714166714736
Queens,Jamaica Estates,40.716804830146174,-73.78722696936667
Queens,Queensboro Hill,40.744572309286745,-73.82580915110566
Queens,Hillcrest,40.72382490182924,-73.79760300912679
Queens,Ravenswood,40.76170452605419,-73.93157506072886
Queens,Lindenwood,40.66391841925143,-73.84963782402448
Queens,Laurelton,40.667883896602504,-73.74025607989829
Queens,Lefrak City,40.73607457083084,-73.86252471413746
Queens,Belle Harbor,40.57615556543113,-73.85401750392529
Queens,Rockaway Park,40.58034295646135,-73.84153370226193
Queens,Somerville,40.59771061565772,-73.79664750844056
Queens,Brookville,40.66000322733616,-73.7517531073116
Queens,Bellaire,40.73301404027838,-73.73889198912488
Queens,North Corona,40.75407099904894,-73.85751790676454
Queens,Forest Hills Gardens,40.71461108151174,-73.84102211234017
Staten Island,St. George,40.64498157100444,-74.07935312512804
Staten Island,New Brighton,40.64061455913515,-74.08701650516633
Staten Island,Stapleton,40.6269276253818,-74.07790192660073
Staten Island,Rosebank,40.61530494652765,-74.06980526716148
Staten Island,West Brighton,40.63187892654611,-74.10718178265617
Staten Island,Grymes Hill,40.62418479131304,-74.08724819983736
Staten Island,Todt Hill,40.59706851814676,-74.11132881800887
Staten Island,South Beach,40.5802474135096,-74.07955292539827
Staten Island,Port Richmond,40.63366930554369,-74.12943426797015
Staten Island,Mariner's Harbor,40.63254639048117,-74.15008537046988
Staten Island,Port Ivory,40.63968297845546,-74.17464532993549
Staten Island,Castleton Corners,40.613335937667465,-74.1191805853485
Staten Island,New Springville,40.59425237916174,-74.16496031329834
Staten Island,Travis,40.58631375103285,-74.19073717538123
Staten Island,New Dorp,40.57257231820636,-74.11647943606387
Staten Island,Oakwood,40.558462243288844,-74.12156593771904
Staten Island,Great Kills,40.54948022871365,-74.14932381490999
Staten Island,Eltingville,40.54223074745079,-74.16433080419367
Staten Island,Annadale,40.538114174745104,-74.17854866165885
Staten Island,Woodrow,40.53745265012707,-74.22135055371616
Staten Island,Tottenville,40.505333761156464,-74.24656934235291
Staten Island,Tompkinsville,40.63731606711036,-74.08055351790122
Staten Island,Silver Lake,40.619193107926804,-74.09629029235465
Staten Island,Sunnyside,40.612760157564935,-74.09712552178537
Brooklyn,Ditmas Park,40.64367518334101,-73.96101312466787
Brooklyn,Wingate,40.660946561881154,-73.93718680559321
Brooklyn,Rugby,40.65557231328081,-73.92688212616963
Staten Island,Park Hill,40.60919044434562,-74.08015734936303
Staten Island,Westerleigh,40.62109047275413,-74.13304143951713
Staten Island,Graniteville,40.62017151223193,-74.1531524638777
Staten Island,Arlington,40.63532509911496,-74.16510420241131
Staten Island,Arrochar,40.596312571276776,-74.06712363225581
Staten Island,Grasmere,40.59826835959995,-74.07667436279057
Staten Island,Old Town,40.596328913795176,-74.08751118005587
Staten Island,Dongan Hills,40.58867294819932,-74.09639905312528
Staten Island,Midland Beach,40.573526905742874,-74.09348266303599
Staten Island,Grant City,40.57621558711792,-74.10585598545441
Staten Island,New Dorp Beach,40.56425549307338,-74.10432707469131
Staten Island,Bay Terrace,40.55398800858466,-74.13916622175775
Staten Island,Huguenot,40.53191192048964,-74.19174105747821
Staten Island,Pleasant Plains,40.52469937611818,-74.21983106616784
Staten Island,Butler Manor,40.506081653463085,-74.22950350260034
Staten Island,Charleston,40.530531482833176,-74.23215775896533
Staten Island,Rossville,40.549404006500765,-74.21572851113959
Staten Island,Arden Heights,40.549285822783254,-74.185886745839
Staten Island,Greenridge,40.559712496342954,-74.19150620964295
Staten Island,Heartland Village,40.589138948752854,-74.15902208156608
Staten Island,Chelsea,40.59472602746298,-74.18956045519697
Staten Island,Bloomfield,40.60577868452362,-74.18725638381574
Staten Island,Bulls Head,40.60959180042034,-74.15940948657129
Manhattan,Carnegie Hill,40.78268256712574,-73.95325646837121
Manhattan,Noho,40.72325901885772,-73.98843368023604
Manhattan,Civic Center,40.715228920462856,-74.00541529873362
Manhattan,Midtown South,40.748509664312245,-73.98871313285254
Staten Island,Richmond Town,40.56960594275509,-74.13405729862578
Staten Island,Shore Acres,40.609719340792886,-74.06667766061778
Staten Island,Clifton,40.61917845202847,-74.07264244548406
Staten Island,Concord,40.604473189687944,-74.08402364740365
Staten Island,Emerson Hill,40.606794394801035,-74.09776206972529
Staten Island,Randall Manor,40.63563000681155,-74.09805062373894
Staten Island,Howland Hook,40.638432837947995,-74.1862233174983
Staten Island,Elm Park,40.63014674119387,-74.14181678968897
Brooklyn,Remsen Village,40.65211745179353,-73.91665331978055
Brooklyn,New Lots,40.66274427969663,-73.885117763793
Brooklyn,Paerdegat Basin,40.63131755039671,-73.90233474295843
Brooklyn,Mill Basin,40.615974239623405,-73.9151539155041
Queens,Jamaica Hills,40.71145964370486,-73.796464620816
Queens,Utopia,40.7335002542976,-73.79671678028357
Queens,Pomonok,40.73493618075482,-73.80486120040544
Queens,Astoria Heights,40.770317392998244,-73.89467996270581
Bronx,Claremont Village,40.83142834161551,-73.90119903387674
Bronx,Concourse Village,40.82478049084294,-73.91584652759016
Bronx,Mount Eden,40.843826176716576,-73.91655551964426
Bronx,Mount Hope,40.84884160724669,-73.90829930881995
Manhattan,Sutton Place,40.76028033131378,-73.9635561409431
Queens,Hunters Point,40.74341409007358,-73.95386782130753
Manhattan,Turtle Bay,40.75204236950726,-73.96770824581843
Manhattan,Tudor City,40.74691741074023,-73.97121928722272
Manhattan,Stuyvesant Town,40.73099955477065,-73.9740517046921
Manhattan,Flatiron,40.73967304763847,-73.99094710528267
Queens,Sunnyside Gardens,40.745651806080794,-73.9181928643169
Queens,Blissville,40.73725071694501,-73.93244235260185
Brooklyn,Fulton Ferry,40.70328109093018,-73.99550751888422
Brooklyn,Vinegar Hill,40.703321498828785,-73.981116035924
Brooklyn,Weeksville,40.67503986503241,-73.93053108817347
Brooklyn,Broadway Junction,40.67786104769535,-73.90331684852606
Brooklyn,Dumbo,40.70317632822696,-73.98875280745047
Staten Island,Manor Heights,40.60180957631448,-74.12059399718008
Staten Island,Willowbrook,40.60370692627375,-74.13208447484305
Staten Island,Sandy Ground,40.5411399220918,-74.21776636068574
Staten Island,Egbertville,40.579118742961256,-74.12727240604953
Queens,Roxbury,40.567375889570364,-73.89213760232829
Brooklyn,Homecrest,40.59852509513729,-73.9591845942871
Queens,Middle Village,40.71641451115823,-73.8811431920061
Staten Island,Prince's Bay,40.526264067348166,-74.20152556457666
Staten Island,Lighthouse Hill,40.576506293794935,-74.13792663771576
Staten Island,Richmond Valley,40.519541457489126,-74.22957080626948
Queens,Malba,40.790601556701525,-73.8266775713865
Brooklyn,Highland Park,40.68248551101694,-73.8902809854761
Brooklyn,Madison,40.609377701137696,-73.948415153289
